split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Categorical MCEM-MMIL,IV,Epithelial cells,IV,267,0.9995326367298666,0.999999999998
test,Categorical MCEM-MMIL,IV,Undetermined,IV,8,0.9963527560529944,0.9998735483090254
test,Categorical MCEM-MMIL,IV,MAST cells,IV,1,0.99245799036249,0.99245799036249
test,Categorical MCEM-MMIL,IV,Oligodendrocytes,IV,6,0.9919136382969596,0.9999996275769885
test,Categorical MCEM-MMIL,IV,Myeloid cells,IV,160,0.9308534807350582,0.999999999998
test,Categorical MCEM-MMIL,IV,Fibroblasts,IV,6,0.9233030266366407,0.9999803319623195
test,Categorical MCEM-MMIL,IV,NK cells,IV,34,0.8965712913456064,0.999999511798015
test,Categorical MCEM-MMIL,IV,B lymphocytes,IV,195,0.824694637962895,0.9998941721272631
test,Categorical MCEM-MMIL,IV,T lymphocytes,IV,344,0.780839460540758,0.9999741125840982
test,Naive inherited-label classifier,I,Myeloid cells,I,168,0.5765605700569995,0.8401128537272233
test,Naive inherited-label classifier,I,B lymphocytes,I,43,0.573530968962012,0.7749953726714449
test,Naive inherited-label classifier,I,T lymphocytes,I,248,0.5213895630283273,0.8026944523419604
test,Naive inherited-label classifier,I,Undetermined,I,2,0.5088629233366619,0.5104131679741819
test,Naive inherited-label classifier,I,MAST cells,I,35,0.42135871191813923,0.6103201287574117
test,Naive inherited-label classifier,I,Endothelial cells,I,29,0.3516403240176492,0.5892517036214648
test,Naive inherited-label classifier,I,NK cells,I,81,0.3479652693636748,0.5569844381911875
test,Naive inherited-label classifier,I,Fibroblasts,I,31,0.2136436234597495,0.3792664481018208
test,Naive inherited-label classifier,I,Epithelial cells,I,109,0.11950503870211526,0.25395058949610394
test,Naive inherited-label classifier,I,Fibroblasts,II_III,31,0.48976378155789274,0.6800237023708605
test,Naive inherited-label classifier,I,NK cells,II_III,81,0.2833226280673479,0.518868911251157
