split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
test,Naive inherited-label classifier,I,Epithelial cells,II_III,109,0.12112302132006066,0.22400895108366042
test,Naive inherited-label classifier,I,Undetermined,II_III,2,0.09597000212334944,0.09780564758272277
test,Naive inherited-label classifier,I,B lymphocytes,II_III,43,0.08057582983374867,0.10440334604423335
test,Naive inherited-label classifier,I,Epithelial cells,IV,109,0.7511507341863783,0.892833392996679
test,Naive inherited-label classifier,I,MAST cells,IV,35,0.6131922291204227,0.661350527548464
test,Naive inherited-label classifier,I,Undetermined,IV,2,0.586469201108059,0.5895193966624906
test,Naive inherited-label classifier,I,NK cells,IV,81,0.5220883687296765,0.5979992478766902
test,Naive inherited-label classifier,I,Endothelial cells,IV,29,0.5164820410760493,0.6058861512035876
test,Naive inherited-label classifier,I,T lymphocytes,IV,248,0.46889688827729115,0.558277577967391
test,Naive inherited-label classifier,I,B lymphocytes,IV,43,0.45745185317322895,0.5302768497026177
test,Naive inherited-label classifier,I,Myeloid cells,IV,168,0.39537871269073577,0.7996623965802476
test,Naive inherited-label classifier,I,Fibroblasts,IV,31,0.19576023652398714,0.3106009439342976
test,Naive inherited-label classifier,II_III,B lymphocytes,I,40,0.47591549015076196,0.5608570832336495
test,Naive inherited-label classifier,II_III,Myeloid cells,I,53,0.46662755602210176,0.6895497976969437
test,Naive inherited-label classifier,II_III,T lymphocytes,I,138,0.41797010494941517,0.5079061475841686
test,Naive inherited-label classifier,II_III,Endothelial cells,I,1,0.3494349621247122,0.3494349621247122
test,Naive inherited-label classifier,II_III,MAST cells,I,3,0.343958959226976,0.5209373679403992
test,Naive inherited-label classifier,II_III,Undetermined,I,1,0.3059452495308713,0.3059452495308713
test,Naive inherited-label classifier,II_III,NK cells,I,5,0.2215451853617474,0.24510054449385274
test,Naive inherited-label classifier,II_III,Epithelial cells,I,10,0.17907864177519228,0.2140500844664355
test,Naive inherited-label classifier,II_III,NK cells,II_III,5,0.2139702047380178,0.2630107713020351
test,Naive inherited-label classifier,II_III,Endothelial cells,II_III,1,0.1924171652488638,0.1924171652488638
test,Naive inherited-label classifier,II_III,MAST cells,II_III,3,0.18903716718904162,0.23712156937333695
test,Naive inherited-label classifier,II_III,Myeloid cells,II_III,53,0.18234057801322265,0.22708340599817756
test,Naive inherited-label classifier,II_III,Epithelial cells,II_III,10,0.1645958111991436,0.19921318614216935
test,Naive inherited-label classifier,II_III,T lymphocytes,II_III,138,0.12344911944690533,0.16087214509207634
test,Naive inherited-label classifier,II_III,Undetermined,II_III,1,0.0939999436955931,0.0939999436955931
test,Naive inherited-label classifier,II_III,B lymphocytes,II_III,40,0.07597867107487878,0.09329773592121803
test,Naive inherited-label classifier,II_III,Epithelial cells,IV,10,0.656325547025664,0.7565165123729547
test,Naive inherited-label classifier,II_III,Undetermined,IV,1,0.6000548067735355,0.6000548067735355
test,Naive inherited-label classifier,II_III,NK cells,IV,5,0.5644846099002349,0.6083478689026498
test,Naive inherited-label classifier,II_III,MAST cells,IV,3,0.46700387358398227,0.6340122713181072
test,Naive inherited-label classifier,II_III,T lymphocytes,IV,138,0.4585807756036795,0.5406166774114621
test,Naive inherited-label classifier,II_III,Endothelial cells,IV,1,0.458147872626424,0.458147872626424
test,Naive inherited-label classifier,II_III,B lymphocytes,IV,40,0.4481058387743593,0.5263664888439574
test,Naive inherited-label classifier,II_III,Myeloid cells,IV,53,0.35103186596467556,0.7221338784542741
test,Naive inherited-label classifier,IV,B lymphocytes,I,195,0.4621175669417204,0.5315716997751422
test,Naive inherited-label classifier,IV,T lymphocytes,I,344,0.4269525120360882,0.5050193212446006
test,Naive inherited-label classifier,IV,Undetermined,I,8,0.3062114812356113,0.32977061677088165
test,Naive inherited-label classifier,IV,NK cells,I,34,0.25553191506962036,0.3108831065049771
test,Naive inherited-label classifier,IV,MAST cells,I,1,0.2233156275246395,0.2233156275246395
test,Naive inherited-label classifier,IV,Myeloid cells,I,160,0.18947956366690774,0.2807726622325273
test,Naive inherited-label classifier,IV,Fibroblasts,I,6,0.17828361565662967,0.2653697311243072
test,Naive inherited-label classifier,IV,Epithelial cells,I,267,0.07620877588666959,0.14643480048502197
test,Naive inherited-label classifier,IV,Oligodendrocytes,I,6,0.012383510479897768,0.022880030432025203
test,Naive inherited-label classifier,IV,Oligodendrocytes,II_III,6,0.4676800706312054,0.6064837030736172
test,Naive inherited-label classifier,IV,Fibroblasts,II_III,6,0.30018123284363857,0.449033304753102
test,Naive inherited-label classifier,IV,NK cells,II_III,34,0.16931580237915758,0.1963920258225863
test,Naive inherited-label classifier,IV,MAST cells,II_III,1,0.1506971891117278,0.1506971891117278
test,Naive inherited-label classifier,IV,T lymphocytes,II_III,344,0.1182674386471013,0.1454367426749005
test,Naive inherited-label classifier,IV,Undetermined,II_III,8,0.11134985377558619,0.11914791705138078
test,Naive inherited-label classifier,IV,Myeloid cells,II_III,160,0.10868199851627366,0.14507309484923683
