split,model,Stage_cat,Cell_type,class,n_cells,mean_prob,q90_prob
train,Categorical EM-MMIL,II_III,T lymphocytes,II_III,226,0.3199405266214817,0.9207103067227358
train,Categorical EM-MMIL,II_III,Myeloid cells,II_III,122,0.29614819231504724,0.7627218098265732
train,Categorical EM-MMIL,II_III,NK cells,II_III,46,0.27987925938784297,0.8499831951784842
train,Categorical EM-MMIL,II_III,Endothelial cells,II_III,3,0.26808069819674335,0.6078140608284062
train,Categorical EM-MMIL,II_III,B lymphocytes,II_III,57,0.182804219879623,0.5951299972640546
train,Categorical EM-MMIL,II_III,Undetermined,II_III,2,3.56294186731922e-06,4.1066411978923476e-06
train,Categorical EM-MMIL,II_III,Epithelial cells,IV,70,0.4639458505836764,0.9918368625340301
train,Categorical EM-MMIL,II_III,NK cells,IV,46,0.4217912788693993,0.9683939764488586
train,Categorical EM-MMIL,II_III,MAST cells,IV,13,0.351825363820067,0.886887820458484
train,Categorical EM-MMIL,II_III,Myeloid cells,IV,122,0.3298918237581674,0.9896538773374812
train,Categorical EM-MMIL,II_III,T lymphocytes,IV,226,0.27472883664542147,0.891659621834854
train,Categorical EM-MMIL,II_III,Undetermined,IV,2,0.2698794343708062,0.4793116841377659
train,Categorical EM-MMIL,II_III,B lymphocytes,IV,57,0.22252712143325826,0.5760840344037607
train,Categorical EM-MMIL,II_III,Endothelial cells,IV,3,0.07307271943014264,0.13268824581287447
